Conversion Type,% Chance of Failure
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 1000, Control: 95, Own Province: True",6.0
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 1000, Control: 95, Own Province: False",48.2
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 1000, Control: 100, Own Province: False",62.96
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 85, Own Province: True",35.06
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 85, Own Province: False",33.98
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 90, Own Province: True",23.75
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 90, Own Province: False",48.74
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 95, Own Province: True",14.17
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 95, Own Province: False",61.77
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 100, Own Province: True",5.5
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 50000, Control: 100, Own Province: False",74.42
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 85, Own Province: True",48.19
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 85, Own Province: False",48.37
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 90, Own Province: True",34.63
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 90, Own Province: False",61.98
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 95, Own Province: True",24.75
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 95, Own Province: False",73.98
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 100, Own Province: True",13.98
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 100000, Control: 100, Own Province: False",73.56
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 85, Own Province: True",61.67
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 85, Own Province: False",60.47
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 90, Own Province: True",48.11
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 90, Own Province: False",74.35
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 95, Own Province: True",35.77
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 95, Own Province: False",73.96
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 100, Own Province: True",24.1
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 150000, Control: 100, Own Province: False",74.29
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 85, Own Province: True",75.05
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 85, Own Province: False",73.82
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 90, Own Province: True",61.08
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 90, Own Province: False",74.18
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 95, Own Province: True",48.65
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 95, Own Province: False",73.78
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 100, Own Province: True",35.12
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 200000, Control: 100, Own Province: False",74.43
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 85, Own Province: True",74.22
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 85, Own Province: False",74.66
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 90, Own Province: True",74.04
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 90, Own Province: False",73.98
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 95, Own Province: True",61.41
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 95, Own Province: False",73.89
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 100, Own Province: True",48.34
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 250000, Control: 100, Own Province: False",73.48
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 85, Own Province: True",74.07
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 85, Own Province: False",74.24
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 90, Own Province: True",73.47
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 90, Own Province: False",74.3
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 95, Own Province: True",74.19
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 95, Own Province: False",73.99
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 100, Own Province: True",61.11
"New Religion: Old Gods, Current Religion: Faith of the Seven, Population: 300000, Control: 100, Own Province: False",74.8
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: True",24.24
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: False",23.85
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: True",14.33
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: False",35.22
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: True",5.86
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: False",48.54
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: False",61.08
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: True",34.77
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: False",34.73
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: True",23.8
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: False",49.15
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: True",13.86
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: False",61.18
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: True",5.98
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: False",73.44
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: True",48.05
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: False",48.16
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: True",35.91
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: False",61.31
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: True",24.16
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: False",74.64
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: True",13.71
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: False",73.97
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 85, Own Province: True",61.44
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 85, Own Province: False",61.58
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 90, Own Province: True",47.93
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 90, Own Province: False",74.01
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 95, Own Province: True",34.86
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 95, Own Province: False",74.71
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 100, Own Province: True",24.14
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 150000, Control: 100, Own Province: False",74.34
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 85, Own Province: True",74.48
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 85, Own Province: False",73.96
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 90, Own Province: True",60.46
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 90, Own Province: False",74.49
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 95, Own Province: True",49.46
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 95, Own Province: False",74.72
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 100, Own Province: True",35.23
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 200000, Control: 100, Own Province: False",73.91
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 85, Own Province: True",73.84
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 85, Own Province: False",73.7
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 90, Own Province: True",73.59
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 90, Own Province: False",74.09
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 95, Own Province: True",61.98
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 95, Own Province: False",74.97
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 100, Own Province: True",47.79
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 250000, Control: 100, Own Province: False",74.87
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 85, Own Province: True",73.63
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 85, Own Province: False",74.19
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 90, Own Province: True",74.36
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 90, Own Province: False",73.89
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 95, Own Province: True",73.82
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 95, Own Province: False",73.62
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 100, Own Province: True",61.2
"New Religion: Old Gods, Current Religion: Skagosi Old Gods, Population: 300000, Control: 100, Own Province: False",74.26
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 85, Own Province: True",35.1
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 85, Own Province: False",34.37
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 90, Own Province: True",23.95
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 90, Own Province: False",47.45
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 95, Own Province: True",13.59
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 95, Own Province: False",61.88
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 100, Own Province: True",5.65
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 1000, Control: 100, Own Province: False",74.41
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 85, Own Province: True",48.01
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 85, Own Province: False",47.95
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 90, Own Province: True",35.02
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 90, Own Province: False",61.14
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 95, Own Province: True",23.15
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 95, Own Province: False",73.78
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 100, Own Province: True",13.9
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 50000, Control: 100, Own Province: False",73.5
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 85, Own Province: True",61.24
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 85, Own Province: False",62.15
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 90, Own Province: True",48.24
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 90, Own Province: False",73.87
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 95, Own Province: True",34.52
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 95, Own Province: False",74.74
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 100, Own Province: True",24.34
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 100000, Control: 100, Own Province: False",74.17
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 85, Own Province: True",74.51
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 85, Own Province: False",74.55
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 90, Own Province: True",61.62
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 90, Own Province: False",74.42
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 95, Own Province: True",48.47
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 95, Own Province: False",73.63
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 100, Own Province: True",33.96
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 150000, Control: 100, Own Province: False",73.67
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 85, Own Province: True",74.36
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 85, Own Province: False",73.67
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 90, Own Province: True",74.06
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 90, Own Province: False",73.96
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 95, Own Province: True",61.68
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 95, Own Province: False",74.46
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 100, Own Province: True",48.22
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 200000, Control: 100, Own Province: False",74.09
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 85, Own Province: True",74.83
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 85, Own Province: False",74.27
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 90, Own Province: True",74.76
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 90, Own Province: False",74.23
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 95, Own Province: True",74.31
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 95, Own Province: False",74.16
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 100, Own Province: True",61.64
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 250000, Control: 100, Own Province: False",74.86
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 85, Own Province: True",74.62
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 85, Own Province: False",74.13
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 90, Own Province: True",74.66
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 90, Own Province: False",73.93
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 95, Own Province: True",74.47
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 95, Own Province: False",73.45
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 100, Own Province: True",73.45
"New Religion: Old Gods, Current Religion: DrownedGod, Population: 300000, Control: 100, Own Province: False",74.54
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 85, Own Province: True",23.04
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 85, Own Province: False",24.42
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 90, Own Province: True",14.11
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 90, Own Province: False",35.54
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 95, Own Province: True",5.93
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 95, Own Province: False",48.4
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 1000, Control: 100, Own Province: False",60.92
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 85, Own Province: True",34.9
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 85, Own Province: False",34.93
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 90, Own Province: True",24.14
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 90, Own Province: False",48.12
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 95, Own Province: True",13.37
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 95, Own Province: False",60.95
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 100, Own Province: True",6.37
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 50000, Control: 100, Own Province: False",74.42
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 85, Own Province: True",48.46
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 85, Own Province: False",48.68
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 90, Own Province: True",35.0
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 90, Own Province: False",61.03
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 95, Own Province: True",23.59
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 95, Own Province: False",73.99
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 100, Own Province: True",13.34
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 100000, Control: 100, Own Province: False",73.94
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 85, Own Province: True",61.74
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 85, Own Province: False",61.62
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 90, Own Province: True",48.01
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 90, Own Province: False",73.59
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 95, Own Province: True",35.64
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 95, Own Province: False",73.91
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 100, Own Province: True",23.33
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 150000, Control: 100, Own Province: False",74.4
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 85, Own Province: True",73.99
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 85, Own Province: False",74.11
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 90, Own Province: True",61.65
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 90, Own Province: False",73.44
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 95, Own Province: True",48.3
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 95, Own Province: False",74.28
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: True",34.29
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: False",74.22
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: True",74.12
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: False",74.71
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: True",74.1
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: False",74.6
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: True",60.6
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: False",74.31
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: True",47.48
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: False",74.17
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: True",74.43
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: False",74.03
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: True",73.4
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: False",73.73
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: True",73.76
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: False",74.01
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: True",61.69
"New Religion: Old Gods, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: False",74.09
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: True",24.47
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: False",24.1
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: True",14.12
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: False",34.96
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: True",6.14
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: False",47.3
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: False",60.98
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: True",35.09
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: False",35.75
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: True",23.35
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: False",48.5
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: True",13.41
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: False",61.13
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: True",6.23
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: False",74.41
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: True",48.28
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: False",48.09
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: True",35.28
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: False",61.2
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: True",24.09
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: False",73.86
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: True",13.5
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: False",73.7
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: True",60.12
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: False",61.0
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: True",48.5
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: False",73.81
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: True",35.45
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: False",74.59
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: True",23.7
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: False",75.14
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: True",74.46
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: False",74.18
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: True",61.13
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: False",74.12
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: True",48.2
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: False",73.44
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 100, Own Province: True",34.61
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 200000, Control: 100, Own Province: False",74.48
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 85, Own Province: True",73.82
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 85, Own Province: False",74.4
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 90, Own Province: True",74.24
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 90, Own Province: False",73.98
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 95, Own Province: True",61.58
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 95, Own Province: False",73.89
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 100, Own Province: True",48.31
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 250000, Control: 100, Own Province: False",73.97
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 300000, Control: 85, Own Province: True",74.02
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 300000, Control: 85, Own Province: False",73.85
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 300000, Control: 90, Own Province: True",74.48
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 300000, Control: 90, Own Province: False",73.96
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 300000, Control: 95, Own Province: True",74.51
"New Religion: Old Gods, Current Religion: Mother Rhoyne, Population: 300000, Control: 95, Own Province: False",74.37
